lat,long,gauge_id,q_mean,q_std,q_5,q_95,runoff_coefficient,p_mean,p_std,q_7_10,q_seasonal_amplitude,cvq_autumn,cvq_spring,cvq_summer,cvq_winter,q_annual_sens_slope,q_annual_p.value
47.530014,10.297195,DE210300,3.661,5.851,0.52,12.755,0.764,4.795,8.741,0.396,2.926,1.6,1.289,1.89,1.316,0.009,0.001
47.521997,10.22988,DE210310,4.755,5.852,0.98,14.47,0.831,5.724,10.267,0.792,4.657,1.26,0.938,1.278,1.488,-0.002,0.153
47.557921,10.107619,DE210320,3.868,5.335,0.57,12.89,0.748,5.174,9.699,0.457,2.821,1.377,1.137,1.583,1.41,0,0.812
47.628108,10.358221,DE210350,2.705,2.764,0.28,6.91,0.637,4.244,8.037,0.231,1.386,0.937,1.192,1.227,0.748,0.001,0.455
47.768202,10.336886,DE210370,1.871,2.442,0.32,5.8,0.522,3.586,6.955,0.304,1.154,1.275,1.193,1.582,1.089,0,0.946
48.044936,10.150119,DE210380,1.467,0.462,0.92,2.3,0.493,2.977,5.998,0.882,0.214,0.296,0.295,0.346,0.309,-0.001,0.475
48.369593,10.151261,DE210400,0.769,0.646,0.26,1.79,0.306,2.517,5.108,0.217,0.308,0.815,0.802,1.052,0.683,-0.001,0.587
48.071682,10.299552,DE210410,1.391,1.168,0.54,3.26,0.454,3.067,6.082,0.526,0.635,0.801,0.78,1.029,0.699,-0.001,0.659
48.23612,10.313965,DE210420,1.235,0.926,0.55,2.7,0.429,2.877,5.671,0.533,0.492,0.705,0.713,0.914,0.619,-0.001,0.434
48.352394,10.302158,DE210430,1.142,0.858,0.5,2.54,0.406,2.815,5.511,0.467,0.443,0.718,0.706,0.916,0.624,0,0.786
48.169676,10.433587,DE210450,0.886,0.941,0.34,2.19,0.304,2.918,5.924,0.326,0.343,0.998,1.024,1.279,0.894,-0.001,0.248
48.485599,10.380427,DE210460,1.081,0.633,0.56,2.109,0.407,2.658,5.245,0.524,0.303,0.556,0.559,0.71,0.497,0,0.946
48.13301,10.510102,DE210470,1.056,0.511,0.56,1.97,0.351,3.01,6.023,0.561,0.267,0.458,0.441,0.559,0.454,0,0.812
